Date,XLS
5/28/2015,24.66
5/27/2015,24.82
5/26/2015,24.69
5/22/2015,24.82
5/21/2015,24.61
5/20/2015,24.56
5/19/2015,24.62
5/18/2015,24.6
5/15/2015,24.53
5/14/2015,24.54
5/13/2015,24.38
5/12/2015,24.38
5/11/2015,24.45
5/8/2015,24.51
5/7/2015,24.43
5/6/2015,24.44
5/5/2015,24.52
5/4/2015,24.64
5/1/2015,24.62
4/30/2015,24.52
4/29/2015,24.44
4/28/2015,24.6
4/27/2015,24.58
4/24/2015,24.61
4/23/2015,24.67
4/22/2015,24.73
4/21/2015,24.69
4/20/2015,24.44
4/17/2015,24.35
4/16/2015,24.54
4/15/2015,24.64
4/14/2015,24.57
4/13/2015,24.54
4/10/2015,24.62
4/9/2015,24.6
4/8/2015,24.51
4/7/2015,24.49
4/6/2015,24.6
4/2/2015,24.44
4/1/2015,24.36
3/31/2015,24.37
3/30/2015,24.27
3/27/2015,24.22
3/26/2015,23.83
3/25/2015,23.56
3/24/2015,23.72
3/23/2015,23.84
3/20/2015,23.8
3/19/2015,23.74
3/18/2015,23.71
3/17/2015,23.64
3/16/2015,23.67
3/13/2015,23.59
3/12/2015,23.74
3/11/2015,23.63
3/10/2015,23.7
3/9/2015,23.91
3/6/2015,23.94
3/5/2015,24.05
3/4/2015,24.1
3/3/2015,24.15
3/2/2015,24.35
2/27/2015,24.2
2/26/2015,24.28
2/25/2015,24.3
2/24/2015,24.34
2/23/2015,24.24
2/20/2015,24.32
2/19/2015,24.49
2/18/2015,24.33
2/17/2015,24.22
2/13/2015,24.15
2/12/2015,24.11
2/11/2015,24.1
2/10/2015,24.03
2/9/2015,23.96
2/6/2015,24.13
2/5/2015,17.71
2/4/2015,17.38
2/3/2015,17.62
2/2/2015,17.25
1/30/2015,17.11
1/29/2015,17.46
1/28/2015,17.3
1/27/2015,17.61
1/26/2015,17.89
1/23/2015,17.84
1/22/2015,17.72
1/21/2015,17.41
1/20/2015,16.96
1/16/2015,16.89
1/15/2015,16.77
1/14/2015,16.99
1/13/2015,17.12
1/12/2015,17.01
1/9/2015,16.96
1/8/2015,17.22
1/7/2015,16.87
1/6/2015,16.67
1/5/2015,17.06
1/2/2015,17.38
12/31/2014,17.53
12/30/2014,17.69
12/29/2014,17.79
12/26/2014,17.78
12/24/2014,17.82
12/23/2014,17.64
12/22/2014,17.46
12/19/2014,17.45
12/18/2014,17.44
12/17/2014,16.96
12/16/2014,16.73
12/15/2014,16.52
12/12/2014,16.58
12/11/2014,16.96
12/10/2014,16.8
12/9/2014,17.27
12/8/2014,17.33
12/5/2014,17.76
12/4/2014,17.57
12/3/2014,17.59
12/2/2014,17.49
12/1/2014,17.51
11/28/2014,17.94
11/26/2014,17.98
11/25/2014,18.02
11/24/2014,18.09
11/21/2014,18.04
11/20/2014,18
11/19/2014,18
11/18/2014,17.9
11/17/2014,17.61
11/14/2014,17.71
11/13/2014,17.99
11/12/2014,18.04
11/11/2014,18.01
11/10/2014,17.91
11/7/2014,17.91
11/6/2014,18.02
11/5/2014,17.74
11/4/2014,17.64
11/3/2014,17.55
10/31/2014,17.85
10/30/2014,17.12
10/29/2014,17.25
10/28/2014,17.4
10/27/2014,16.99
10/24/2014,16.78
10/23/2014,16.76
10/22/2014,16.44
10/21/2014,16.47
10/20/2014,16
10/17/2014,16.02
10/16/2014,15.77
10/15/2014,15.78
10/14/2014,16.09
10/13/2014,16.11
10/10/2014,16.43
10/9/2014,16.33
10/8/2014,17.05
10/7/2014,16.94
10/6/2014,17.1
10/3/2014,16.9
10/2/2014,16.42
10/1/2014,16.39
9/30/2014,16.54
9/29/2014,16.43
9/26/2014,16.9017
9/25/2014,16.6403
9/24/2014,16.855
9/23/2014,16.6777
9/22/2014,16.7337
9/19/2014,17.275
9/18/2014,17.415
9/17/2014,17.2656
9/16/2014,17.219
9/15/2014,17.051
9/12/2014,17.079
9/11/2014,16.9483
9/10/2014,16.9763
9/9/2014,16.7523
9/8/2014,16.9203
9/5/2014,16.3604
9/4/2014,16.491
9/3/2014,16.4444
9/2/2014,16.267
8/29/2014,16.0431
8/28/2014,16.0244
8/27/2014,16.0057
8/26/2014,16.2857
8/25/2014,16.2577
8/22/2014,16.2297
8/21/2014,16.407
8/20/2014,16.267
8/19/2014,16.435
8/18/2014,16.2297
8/15/2014,15.8564
8/14/2014,15.8471
8/13/2014,15.6604
8/12/2014,15.2218
8/11/2014,15.3524
8/8/2014,15.3151
8/7/2014,15.1004
8/6/2014,15.3151
8/5/2014,15.7164
8/4/2014,15.8564
8/1/2014,16.1364
7/31/2014,15.7164
7/30/2014,15.8937
7/29/2014,15.7817
7/28/2014,15.9497
7/25/2014,15.9497
7/24/2014,16.239
7/23/2014,16.379
7/22/2014,16.6683
7/21/2014,16.3324
7/18/2014,15.9217
7/17/2014,15.7631
7/16/2014,16.0151
7/15/2014,16.099
7/14/2014,16.127
7/11/2014,15.9591
7/10/2014,15.9684
7/9/2014,15.9031
7/8/2014,15.9684
7/7/2014,15.9404
7/3/2014,16.0151
7/2/2014,15.8564
7/1/2014,16.1364
6/30/2014,15.8471
6/27/2014,15.8097
6/26/2014,15.8377
6/25/2014,15.8004
6/24/2014,15.8284
6/23/2014,15.9404
6/20/2014,15.9217
6/19/2014,15.8564
6/18/2014,15.8657
6/17/2014,15.9591
6/16/2014,16.0431
6/13/2014,16.2017
6/12/2014,16.2764
6/11/2014,16.3324
6/10/2014,16.4537
6/9/2014,16.631
6/6/2014,16.4724
6/5/2014,16.351
6/4/2014,16.3977
6/3/2014,16.2297
6/2/2014,16.2577
5/30/2014,15.9404
5/29/2014,15.7817
5/28/2014,15.5764
5/27/2014,15.8657
5/23/2014,15.6231
5/22/2014,15.3151
5/21/2014,15.0351
5/20/2014,15.1191
5/19/2014,15.5577
5/16/2014,15.7071
5/15/2014,15.7817
5/14/2014,16.1644
5/13/2014,16.5377
5/12/2014,16.575
5/9/2014,16.4537
5/8/2014,16.155
5/7/2014,16.3977
5/6/2014,16.4537
5/5/2014,16.7243
5/2/2014,16.8083
5/1/2014,17.4803
4/30/2014,17.303
4/29/2014,16.9763
4/28/2014,16.939
4/25/2014,17.247
4/24/2014,17.5363
4/23/2014,17.5456
4/22/2014,17.5363
4/21/2014,17.499
4/17/2014,17.527
4/16/2014,17.359
4/15/2014,16.8643
4/14/2014,16.603
4/11/2014,16.5097
4/10/2014,16.9577
4/9/2014,17.3963
4/8/2014,17.107
4/7/2014,17.1443
4/4/2014,17.527
4/3/2014,17.8816
4/2/2014,17.8909
4/1/2014,17.8443
3/31/2014,17.7416
3/28/2014,17.0977
3/27/2014,17.0603
3/26/2014,17.4243
3/25/2014,17.9189
3/24/2014,17.8723
3/21/2014,18.3856
3/20/2014,18.6002
3/19/2014,18.7029
3/18/2014,18.8616
3/17/2014,18.5349
3/14/2014,18.2643
3/13/2014,18.1709
3/12/2014,18.5816
3/11/2014,18.8429
3/10/2014,19.5335
3/7/2014,19.7762
3/6/2014,19.4402
3/5/2014,19.7948
3/4/2014,19.8695
3/3/2014,19.3282
2/28/2014,19.0669
2/27/2014,19.2535
2/26/2014,19.4215
2/25/2014,19.0855
2/24/2014,19.2629
2/21/2014,18.8989
2/20/2014,18.9455
2/19/2014,18.5442
2/18/2014,18.9829
2/14/2014,18.5349
2/13/2014,18.4136
2/12/2014,18.1709
2/11/2014,17.9469
2/10/2014,17.7883
2/7/2014,17.9656
2/6/2014,17.7883
2/5/2014,17.6296
2/4/2014,17.7136
2/3/2014,17.359
1/31/2014,18.2829
1/30/2014,18.3482
1/29/2014,18.1056
1/28/2014,18.4602
1/27/2014,18.4042
1/24/2014,18.7309
1/23/2014,19.0949
1/22/2014,19.4122
1/21/2014,18.9269
1/17/2014,18.7776
1/16/2014,18.8429
1/15/2014,18.2923
1/14/2014,18.1896
1/13/2014,18.0869
1/10/2014,17.8629
1/9/2014,17.7416
1/8/2014,17.555
1/7/2014,17.695
1/6/2014,17.7136
1/3/2014,18.0403
1/2/2014,17.4803
12/31/2013,17.7883
12/30/2013,17.7323
12/27/2013,17.6763
12/26/2013,17.8723
12/24/2013,17.7509
12/23/2013,17.723
12/20/2013,17.583
12/19/2013,17.4803
12/18/2013,17.4523
12/17/2013,17.2936
12/16/2013,17.303
12/13/2013,17.0697
12/12/2013,17.6483
12/11/2013,16.2857
12/10/2013,16.323
12/9/2013,16.3417
12/6/2013,16.2017
12/5/2013,15.9964
12/4/2013,16.127
12/3/2013,16.2764
12/2/2013,16.547
11/29/2013,16.491
11/27/2013,16.6217
11/26/2013,16.435
11/25/2013,16.1364
11/22/2013,16.3417
11/21/2013,16.1924
11/20/2013,16.0337
11/19/2013,16.0897
11/18/2013,16.1084
11/15/2013,16.071
11/14/2013,16.1177
11/13/2013,15.8937
11/12/2013,15.5671
11/11/2013,15.6604
11/8/2013,15.6044
11/7/2013,15.3058
11/6/2013,15.7911
11/5/2013,15.6697
11/4/2013,15.1564
11/1/2013,14.6805
10/31/2013,15.3898
10/30/2013,15.4644
10/29/2013,15.5204
10/28/2013,15.3151
10/25/2013,15.2778
10/24/2013,15.2404
10/23/2013,15.1938
10/22/2013,15.0258
10/21/2013,14.8671
10/18/2013,14.9138
10/17/2013,14.4938
10/16/2013,14.2978
10/15/2013,14.3165
10/14/2013,14.5591
10/11/2013,14.4658
10/10/2013,14.4565
10/9/2013,14.1485
10/8/2013,14.3352
10/7/2013,14.4845
10/4/2013,14.8485
10/3/2013,14.9324
10/2/2013,14.9511
10/1/2013,14.9324
9/30/2013,14.6618
9/27/2013,14.9698
9/26/2013,14.9604
9/25/2013,14.7925
9/24/2013,14.7271
9/23/2013,14.6151
9/20/2013,14.7365
9/19/2013,14.9231
9/18/2013,14.8298
9/17/2013,14.8111
9/16/2013,14.6338
9/13/2013,14.5778
9/12/2013,14.3725
9/11/2013,14.5405
9/10/2013,14.5498
9/9/2013,14.3538
9/6/2013,14.0738
9/5/2013,14.0738
9/4/2013,13.9152
9/3/2013,13.8032
8/30/2013,13.7285
8/29/2013,13.9898
8/28/2013,13.9898
8/27/2013,13.7938
8/26/2013,14.2978
8/23/2013,14.1392
8/22/2013,13.9992
8/21/2013,13.6165
8/20/2013,13.7099
8/19/2013,13.7192
8/16/2013,13.6819
8/15/2013,13.6072
8/14/2013,13.8872
8/13/2013,13.9898
8/12/2013,14.1018
8/9/2013,14.0085
8/8/2013,14.1298
8/7/2013,14.1765
8/6/2013,14.1578
8/5/2013,14.4191
8/2/2013,14.0178
8/1/2013,14.0458
7/31/2013,13.7938
7/30/2013,13.5512
7/29/2013,13.8592
7/26/2013,13.9525
7/25/2013,13.9525
7/24/2013,13.9432
7/23/2013,13.9805
7/22/2013,13.9338
7/19/2013,13.7099
7/18/2013,13.6819
7/17/2013,13.4392
7/16/2013,13.3365
7/15/2013,13.4859
7/12/2013,13.4952
7/11/2013,13.3459
7/10/2013,13.2059
7/9/2013,13.0006
7/8/2013,13.3459
7/5/2013,13.4765
7/3/2013,12.9166
7/2/2013,12.8046
7/1/2013,13.1312
6/28/2013,12.8699
6/27/2013,13.0286
6/26/2013,12.6086
6/25/2013,12.5993
6/24/2013,12.3006
6/21/2013,12.4313
6/20/2013,12.1233
6/19/2013,12.1886
6/18/2013,12.3473
6/17/2013,12.0113
6/14/2013,12.0206
6/13/2013,11.8153
6/12/2013,11.3767
6/11/2013,11.302
6/10/2013,11.554
6/7/2013,11.5353
6/6/2013,11.5353
6/5/2013,11.1433
6/4/2013,11.3393
6/3/2013,11.3393
5/31/2013,11.3393
5/30/2013,11.414
5/29/2013,11.4047
5/28/2013,11.4233
5/24/2013,11.106
5/23/2013,11.0593
5/22/2013,10.854
5/21/2013,11.2833
5/20/2013,11.2833
5/17/2013,11.2367
5/16/2013,11.162
5/15/2013,11.1153
5/14/2013,10.9754
5/13/2013,11.106
5/10/2013,11.1153
5/9/2013,11.0127
5/8/2013,10.882
5/7/2013,10.854
5/6/2013,10.546
5/3/2013,10.4994
5/2/2013,10.2101
5/1/2013,10.1447
4/30/2013,10.4247
4/29/2013,10.1541
4/26/2013,10.0421
4/25/2013,10.0981
4/24/2013,9.8834
4/23/2013,9.8274
4/22/2013,9.6688
4/19/2013,9.6128
4/18/2013,9.6501
4/17/2013,9.6688
4/16/2013,9.7994
4/15/2013,9.7808
4/12/2013,10.2661
4/11/2013,10.3221
4/10/2013,10.686
4/9/2013,10.4434
4/8/2013,10.4154
4/5/2013,10.3781
4/4/2013,10.462
4/3/2013,10.2661
4/2/2013,10.1727
4/1/2013,10.1727
3/28/2013,10.1634
3/27/2013,10.2194
3/26/2013,10.1167
3/25/2013,10.0514
3/22/2013,10.1821
3/21/2013,10.1821
3/20/2013,10.4154
3/19/2013,10.3874
3/18/2013,10.3967
3/15/2013,10.3501
3/14/2013,10.3034
3/13/2013,10.2567
3/12/2013,10.2661
3/11/2013,10.2381
3/8/2013,10.3687
3/7/2013,10.2101
3/6/2013,10.2287
3/5/2013,10.3967
3/4/2013,9.9394
3/1/2013,9.8554
2/28/2013,9.6314
2/27/2013,9.6781
2/26/2013,9.5941
2/25/2013,9.6968
2/22/2013,10.0421
2/21/2013,10.0047
2/20/2013,10.1167
2/19/2013,10.0701
2/15/2013,10.0327
2/14/2013,10.2101
2/13/2013,10.3034
2/12/2013,10.4994
2/11/2013,10.3407
2/8/2013,10.3034
2/7/2013,10.1914
2/6/2013,10.1167
2/5/2013,10.2381
2/4/2013,9.9021
2/1/2013,10.0701
1/31/2013,10.2567
1/30/2013,10.4247
1/29/2013,10.7327
1/28/2013,10.574
1/25/2013,10.5927
1/24/2013,10.6114
1/23/2013,10.6674
1/22/2013,10.7327
1/18/2013,10.658
1/17/2013,10.6394
1/16/2013,10.5647
1/15/2013,10.6394
1/14/2013,10.3967
1/11/2013,10.5087
1/10/2013,10.5554
1/9/2013,10.574
1/8/2013,10.574
1/7/2013,10.8727
1/4/2013,10.8914
1/3/2013,10.8914
1/2/2013,10.854
